Subcategory,Food,Serving,Calories
Rice & Rice Products,Rice Bran Oil,100 g,884 Cal
Rice & Rice Products,Rice Cake,100 g,387 Cal
Rice & Rice Products,Rice Crackers,100 g,389 Cal
Rice & Rice Products,Rice Crisps,100 g,384 Cal
Rice & Rice Products,"Rice Noodles, cooked",100 g,107 Cal
Rice & Rice Products,Shirataki Rice,100 g,9 Cal
Rice & Rice Products,Spanish Rice,100 g,185 Cal
Rice & Rice Products,White Rice,100 g,350 Cal
Rice & Rice Products,"White Rice, cooked",100 g,130 Cal
Rice & Rice Products,"White Rice, steamed",100 g,151 Cal
Rice & Rice Products,"Wild Rice, cooked",100 g,137 Cal
Salad,"Arugula, Rocket, Rucola",100 g,30 Cal
Salad,Bacon Ranch Salad,100 g,122 Cal
Salad,Caesar Salad,100 g,187 Cal
Salad,Coleslaw,100 g,53 Cal
Salad,Corn Salad,100 g,76 Cal
Salad,Endive Salad,100 g,18 Cal
Salad,Garden Salad,100 g,19 Cal
Salad,Greek Salad,100 g,72 Cal
Salad,Grilled Chicken Salad,100 g,180 Cal
Salad,Ham Salad,100 g,216 Cal
Salad,"Iceberg Lettuce, Iceberg Salad",100 g,15 Cal
Salad,Kalette,100 g,53 Cal
Salad,Lamb's Lettuce,100 g,18 Cal
Salad,"Lettuce, Green Lettuce",100 g,14 Cal
Salad,Mixed Greens Salad,100 g,14 Cal
Salad,Red Lettuce,100 g,25 Cal
Salad,Romaine Lettuce,100 g,18 Cal
Salad,Side Salad,100 g,38 Cal
Salad,Spring Mix Salad,100 g,24 Cal
Salad,Vegetable Salad,100 g,14 Cal
Sushi,"Avocado Sushi, Maki",100 g,93 Cal
Sushi,California Roll Inside Out,100 g,94 Cal
Sushi,Cucumber Maki,100 g,93 Cal
Sushi,Inside Out Sushi,100 g,94 Cal
Sushi,Nigiri,100 g,165 Cal
Sushi,Nori,100 g,315 Cal
Sushi,Pickled Ginger,100 g,20 Cal
Sushi,Salmon Maki,100 g,163 Cal
Sushi,Salmon Nigiri,100 g,181 Cal
Sushi,Salmon Sashimi,100 g,180 Cal
Sushi,Sashimi,100 g,188 Cal
Sushi,Soy Sauce,100 ml,122 Cal
Sushi,Surimi,100 g,114 Cal
Sushi,Tempura Sushi,100 g,160 Cal
Sushi,"Tuna Sushi, Maki",100 g,173 Cal
Sushi,Uramaki,100 g,187 Cal
Sushi,Wasabi,100 g,137 Cal
Tofu & Vegan Products,Almond Milk,100 ml,22 Cal
Tofu & Vegan Products,Azumaya Tofu,100 g,82 Cal
Tofu & Vegan Products,Bean Curd,100 g,154 Cal
Tofu & Vegan Products,"Bean Curd, fried",100 g,61 Cal
Tofu & Vegan Products,Firm Tofu,100 g,85 Cal
Tofu & Vegan Products,Meatless Meatballs,100 g,197 Cal
Tofu & Vegan Products,Oat Milk,100 ml,40 Cal
Tofu & Vegan Products,Plant Based Chicken,100 g,429 Cal
Tofu & Vegan Products,Rice Milk,100 ml,53 Cal
Tofu & Vegan Products,Seitan,100 g,183 Cal
Tofu & Vegan Products,Silken Tofu,100 g,53 Cal
Tofu & Vegan Products,Soft Tofu,100 g,53 Cal
Tofu & Vegan Products,Soy Cheese,100 g,263 Cal
Tofu & Vegan Products,Soy Milk,100 ml,36 Cal
Tofu & Vegan Products,"Soy Milk, unsweetened",100 ml,33 Cal
Tofu & Vegan Products,Soy Nut Butter,100 g,614 Cal
Tofu & Vegan Products,Soy Yogurt,100 g,29 Cal
Tofu & Vegan Products,Soya Chunks,100 g,257 Cal
Tofu & Vegan Products,Tempeh,100 g,167 Cal
Tofu & Vegan Products,Textured Soy Protein,100 g,446 Cal
Tofu & Vegan Products,Tofu,100 g,127 Cal
Tofu & Vegan Products,"Tofu, fried",100 g,270 Cal
Tofu & Vegan Products,"Vanilla Almond Milk, unsweetened",100 ml,21 Cal
Tofu & Vegan Products,Vegan Chicken,100 g,159 Cal
Tofu & Vegan Products,Vegan Meat,100 g,255 Cal
Tofu & Vegan Products,Vegan Steak,100 g,268 Cal
Tofu & Vegan Products,Veggie Patty,100 g,198 Cal
Yogurt,Actimel (Danone),100 g,73 Cal
Yogurt,Activia (Danone),100 g,74 Cal
Yogurt,Activia Strawberry (Danone),100 g,88 Cal
Yogurt,Ayran,100 ml,35 Cal
Yogurt,Blueberry Yogurt,100 g,67 Cal
Yogurt,Fruit Yogurt,100 g,105 Cal
Yogurt,Greek Yogurt,100 g,116 Cal
Yogurt,"Greek Yogurt, 0%, fat free",100 g,54 Cal
Yogurt,Low Fat Yogurt,100 g,45 Cal
Yogurt,Magerquark,100 g,73 Cal
Yogurt,"Natural Yoghurt, plain",100 g,69 Cal
Yogurt,Organic Yogurt,100 ml,66 Cal
Yogurt,Quark,100 g,160 Cal
Yogurt,Skim Milk Yogurt,100 g,72 Cal
Yogurt,Skyr Yogurt,100 g,48 Cal
Yogurt,Sour Cream,100 g,196 Cal
Yogurt,"Sour Cream, light",100 g,136 Cal
Yogurt,Strawberry Greek Yogurt,100 g,82 Cal
Yogurt,Strawberry Yogurt,100 g,45 Cal
Yogurt,Triple Zero Greek Yogurt (Oikos),100 g,80 Cal
Yogurt,Vanilla Yogurt,100 g,102 Cal
Yogurt,Yogurt Parfait,100 g,84 Cal
Yogurt,Yoplait Strawberry,100 g,88 Cal
